"key","context","status","comment","en-US","de-DE","es-419","fr-FR","it-IT","ja-JP","ko-KR","pt-BR","ru-RU","zh-CN","screenshotable","batch","test_name","en-US_screenshot","de-DE_screenshot","es-419_screenshot","fr-FR_screenshot","it-IT_screenshot","ja-JP_screenshot","ko-KR_screenshot","pt-BR_screenshot","ru-RU_screenshot","zh-CN_screenshot"
"Austria694138778","this is a country","verified","","Austria","Österreich","Austria","Autriche","Austria","オーストリア","오스트리아","Áustria","Австрия","奥地利","no","1","","","","","","","","","","",""
"Azerbaijan660595631","this is a country","verified","","Azerbaijan","Aserbaidschan","Azerbaiyán","Azerbaïdjan","Azerbaigian","アゼルバイジャン","아제르바이잔","Azerbaijão","Азербайджан","阿塞拜疆","no","1","","","","","","","","","","",""
"Bahamas225711856","this is a country","verified","","Bahamas","Bahamas","Bahamas","Bahamas","Bahamas","バハマ","바하마","Bahamas","Багамские острова","巴哈马","no","1","","","","","","","","","","",""
"Bahrain521131178","this is a country","verified","","Bahrain","Bahrain","Bahrein","Bahreïn","Bahrein","バーレーン","바레인","Bahrein","Бахрейн","巴林","no","1","","","","","","","","","","",""
"Bangladesh345883295","this is a country","verified","","Bangladesh","Bangladesch","Bangladesh","Bangladesh","Bangladesh","バングラデシュ","방글라데시","Bangladesh","Бангладеш","孟加拉国","no","1","","","","","","","","","","",""
"Barbados487271906","this is a country","verified","","Barbados","Barbados","Barbados","Barbades","Barbados","バルバドス","바베이도스","Barbados","Барбадос","巴巴多斯","no","1","","","","","","","","","","",""
"Belarus71772932","this is a country","verified","","Belarus","Belarus","Bielorrusia","Biélorussie","Bielorussia","ベラルーシ","벨라루스","Belarus","Беларусь","白俄罗斯","no","1","","","","","","","","","","",""
"Belgium118030511","this is a country","verified","","Belgium","Belgien","Bélgica","Belgique","Belgio","ベルギー","벨기에","Bélgica","Бельгия","比利时","no","1","","","","","","","","","","",""
"Belize611901105","this is a country","verified","","Belize","Belize","Belice","Bélize","Belize","ベリーズ","벨리즈","Belize","Белиз","伯里兹","no","1","","","","","","","","","","",""
"Benin358236730","this is a country","verified","","Benin","Benin","Benín","Bénin","Benin","ベニン","베닌","Benin","Бенин","贝宁","no","1","","","","","","","","","","",""
"Bermuda1053283422","this is a country","verified","","Bermuda","Bermuda","Bermudas","Bermudes","Bermuda","バーミューダ","버뮤다","Bermudas","Бермуды","百慕大","no","1","","","","","","","","","","",""
"Bhutan889595337","this is a country","verified","","Bhutan","Bhutan","Bután","Bhoutan","Bhutan","ブータン","부탄","Butão","Бутан","不丹","no","1","","","","","","","","","","",""
"Bolivia902408492","this is a country","verified","","Bolivia","Bolivien","Bolivia","Bolivie","Bolivia","ボリビア","볼리비아","Bolívia","Боливия","玻利维亚","no","1","","","","","","","","","","",""
"Bosnia_and_Herzegovina210199468","this is a country","verified","","Bosnia and Herzegovina","Bosnien und Herzegowina","Bosnia y Herzegovina","Bosnie-Herzégovine","Bosnia e Erzegovina","ボスニア ヘルツェゴビナ","보스니아 헤르체고비나","Bósnia e Herzegovina","Босния и Герцеговина","波斯尼亚和黑塞哥维那","no","1","","","","","","","","","","",""
"Botswana913332413","this is a country","verified","","Botswana","Botsuana","Botsuana","Botswana","Botswana","ボツワナ","보츠와나","Botsuana","Ботсвана","博茨瓦纳","no","1","","","","","","","","","","",""
"Brazil756605310","this is a country","verified","","Brazil","Brasilien","Brasil","Brésil","Brasile","ブラジル","브라질","Brasil","Бразилия","巴西","no","1","","","","","","","","","","",""
"British_Virgin_Islands847161340","this is a country","verified","","British Virgin Islands","Britische Jungferninseln","Islas Vírgenes Británicas","Îles Vierges (Britanniques)","Isole Vergini Britanniche","英領バージン諸島","영국령 버진 아일랜드","Ilhas Virgens Britânicas","Британские Виргинские острова","英属维尔京群岛","no","1","","","","","","","","","","",""
"Brunei_Darussalam313074325","this is a country","verified","","Brunei Darussalam","Brunei Darussalam","Brunéi","Brunei Darussalam","Brunei Darussalam","ブルネイ","브루나이","Brunei Darussalam","Бруней-Даруссалам","文莱达鲁萨兰国","no","1","","","","","","","","","","",""
"Bulgaria129480792","this is a country","verified","","Bulgaria","Bulgarien","Bulgaria","Bulgarie","Bulgaria","ブルガリア","불가리아","Bulgária","Болгария","保加利亚","no","1","","","","","","","","","","",""
"Burkina_Faso821540617","this is a country","verified","","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","ブルキナファソ","부르키나파소","Burkina Fasso","Буркина-Фасо","布基纳法索","no","1","","","","","","","","","","",""
"Burundi324971126","this is a country","verified","","Burundi","Burundi","Burundi","Burundi","Burundi","ブルンジ","부룬디","Burundi","Бурунди","布隆迪","no","1","","","","","","","","","","",""
"Cambodia545157164","this is a country","verified","","Cambodia","Kambodscha","Camboya","Cambodge","Cambogia","カンボジア","캄보디아","Camboja","Камбоджа","柬埔寨","no","1","","","","","","","","","","",""
"Cameroon3079512","this is a country","verified","","Cameroon","Kamerun","Camerún","Cameroun","Camerun","カメルーン","카메룬","Camarões","Камерун","喀麦隆","no","1","","","","","","","","","","",""
"Canada906311356","this is a country","verified","","Canada","Kanada","Canadá","Canada","Canada","カナダ","캐나다","Canadá","Канада","加拿大","no","1","","","","","","","","","","",""
"Cape_Verde351430575","this is a country","verified","","Cape Verde","Kap Verde","Cabo Verde","Cap-Vert","Capo Verde","カーボベルデ","카보베르데","Cabo Verde","Кабо-Верде","佛得角","no","1","","","","","","","","","","",""
"Cayman_Islands707412977","this is a country","verified","","Cayman Islands","Kaimaninseln","Islas Caimán","Îles Caïmans","Isole Cayman","ケイマン諸島","케이맨 제도","Ilhas Cayman","Острова Кайман","开曼群岛","no","1","","","","","","","","","","",""
"Central_African_Republic262711892","this is a country","verified","","Central African Republic","Zentralafrikanische Republik","República Centroafricana","République Centrafricaine","Repubblica Centrale Africana","中央アフリカ共和国","중앙 아프리카","República Centro-Africana","Центральноафриканская Республика","中非共和国","no","1","","","","","","","","","","",""
"Chad471398691","this is a country","verified","","Chad","Tschad","Chad","Tchad","Ciad","チャド","차드","Chade","Чад","乍得","no","1","","","","","","","","","","",""
"Channel_Islands843755417","this is a country","verified","","Channel Islands","Kanalinseln","Islas del Canal","Îles Anglo-Normandes","Isole del Canale","チャネル諸島","채널 제도","Ilhas do Canal","Нормандские острова","海峡群岛","no","1","","","","","","","","","","",""
"Chile523226422","this is a country","verified","","Chile","Chile","Chile","Chili","Cile","チリ","칠레","Chile","Чили","智利","no","1","","","","","","","","","","",""
"China523091128","this is a country","verified","","China","China","China","Chine","Cina","中国","중국","China","Китай","中国","no","1","","","","","","","","","","",""
"Christmas_Island753170401","this is a country","verified","","Christmas Island","Weihnachtsinsel","Isla de Navidad","Île Christmas","Isole Christmas","クリスマス島","크리스마스 섬","Ilha Christmas","Остров Рождества","圣诞岛","no","1","","","","","","","","","","",""
"Colombia615822742","this is a country","verified","","Colombia","Kolumbien","Colombia","Colombie","Colombia","コロンビア","콜롬비아","Colômbia","Колумбия","哥伦比亚","no","1","","","","","","","","","","",""
"Comoros83969020","this is a country","verified","","Comoros","Komoren","Comoras","Comores","Comore","コモロ","코모로","Ilhas Comores","Коморские острова","科摩罗","no","1","","","","","","","","","","",""
"Cook_Islands197277723","this is a country","verified","","Cook Islands","Cookinseln","Islas Cook","Îles Cook","Isole Cook","クック諸島","쿡 제도","Ilhas Cook","Острова Кука","库克群岛","no","1","","","","","","","","","","",""
"Costa_Rica1071083641","this is a country","verified","","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","コスタリカ","코스타리카","Costa Rica","Коста-Рика","哥斯达黎加","no","1","","","","","","","","","","",""
"Croatia1022555501","this is a country","verified","","Croatia","Kroatien","Croacia","Croatie","Croazia","クロアチア","크로아티아","Croácia","Хорватия","克罗地亚","no","1","","","","","","","","","","",""
"Cte_dIvoire6728198","this is a country","verified","","Côte d'Ivoire","Elfenbeinküste","Costa de Marfil","Côte d'Ivoire","Costa d'Avorio","コートジボアール","코트디부아르","Côte d'Ivoire (Costa do Marfim)","Кот-д'Ивуар","科特迪瓦","no","1","","","","","","","","","","",""
"Cuba360575244","this is a country","verified","","Cuba","Kuba","Cuba","Cuba","Cuba","キューバ","쿠바","Cuba","Куба","古巴","no","1","","","","","","","","","","",""
"Cyprus3604273","this is a country","verified","","Cyprus","Zypern","Chipre","Chypre","Cipro","キプロス","사이프러스","Chipre","Кипр","塞浦路斯","no","1","","","","","","","","","","",""
"Czech_Republic935810511","this is a country","verified","","Czech Republic","Tschechische Republik","República Checa","République Tchèque","Repubblica Ceca","チェコ共和国","체코","República Tcheca","Чешская Республика","捷克共和国","no","1","","","","","","","","","","",""
"DR_Congo659423631","this is a country","verified","","DR Congo","DR Kongo","República Democrática del Congo","République démocratique du Congo","Repubblica democratica del Congo","コンゴ民主共和国","DR 콩고","República Democrática do Congo","Демократическая республика Конго","刚果民主共和国","no","1","","","","","","","","","","",""
"Denmark794287237","this is a country","verified","","Denmark","Dänemark","Dinamarca","Danemark","Danimarca","デンマーク","덴마크","Dinamarca","Дания","丹麦","no","1","","","","","","","","","","",""
"Djibouti27094674","this is a country","verified","","Djibouti","Dschibuti","Yibuti","Djibouti","Gibuti","ジブチ","지부티","Djibuti","Джибути","吉布提","no","1","","","","","","","","","","",""
"Dominica697276373","this is a country","verified","","Dominica","Dominica","Dominica","Dominique","Dominica","ドミニカ","도미니카","Dominica","Доминика","多米尼加","no","1","","","","","","","","","","",""
"Dominican_Republic3222141","this is a country","verified","","Dominican Republic","Dominikanische Republik","República Dominicana","République Dominicaine","Repubblica Dominicana","ドミニカ共和国","도미니카 공화국","República Dominicana","Доминиканская Республика","多米尼加共和国","no","1","","","","","","","","","","",""
"Ecuador735690413","this is a country","verified","","Ecuador","Ecuador","Ecuador","Équateur","Ecuador","エクアドル","에콰도르","Equador","Эквадор","厄瓜多尔","no","1","","","","","","","","","","",""
"Egypt988753829","this is a country","verified","","Egypt","Ägypten","Egipto","Égypte","Egitto","エジプト","이집트","Egito","Египет","埃及","no","1","","","","","","","","","","",""
"El_Salvador548097243","this is a country","verified","","El Salvador","El Salvador","El Salvador","Salvador","El Salvador","エルサルバドル","엘살바도르","El Salvador","Сальвадор","萨尔瓦多","no","1","","","","","","","","","","",""
"Equatorial_Guinea24142793","this is a country","verified","","Equatorial Guinea","Äquatorialguinea","Guinea Ecuatorial","Guinée Équatoriale","Guinea Equatoriale","赤道ギニア","적도 기니","Guiné Equatorial","Экваториальная Гвинея","赤道几内亚","no","1","","","","","","","","","","",""
"Eritrea1057071455","this is a country","verified","","Eritrea","Eritrea","Eritrea","Érythrée","Eritrea","エリトリア","에리트레아","Eritréia","Эритрея","厄立特里亚","no","1","","","","","","","","","","",""
"Estonia663587500","this is a country","verified","","Estonia","Estland","Estonia","Estonie","Estonia","エストニア","에스토니아","Estônia","Эстония","爱沙尼亚","no","1","","","","","","","","","","",""
"Ethiopia1019111372","this is a country","verified","","Ethiopia","Äthiopien","Etiopía","Ethiopie","Etiopia","エチオピア","에티오피아","Etiópia","Эфиопия","埃塞俄比亚","no","1","","","","","","","","","","",""
"Faeroe_Islands1071674642","this is a country","verified","","Faeroe Islands","Färöer","Islas Feroe","Îles Faroe","Isole Faroe","フェロー諸島","페로 제도","Ilhas Faroés","Фарерские острова","法罗群岛","no","1","","","","","","","","","","",""
"Falkland_Islands_Malvinas525078864","this is a country","verified","","Falkland Islands (Malvinas)","Falklandinseln (Malwinen)","Islas Malvinas","Îles Falkland (Malouines)","Isole Falkland (Malvinas)","フォークランド諸島 (マルヴィナス)","포클랜드 제도","Ilhas Malvinas (Falkland Islands)","Фолклендские (Мальвинские) острова","福克兰群岛（马尔维纳斯群岛）","no","1","","","","","","","","","","",""
"Fiji329029897","this is a country","verified","","Fiji","Fidschi","Fiji","Fidji","Fiji","フィジー","피지","Ilhas Fiji","Фиджи","斐济","no","4","","","","","","","","","","",""
"Finland634951737","this is a country","verified","","Finland","Finnland","Finlandia","Finlande","Finlandia","フィンランド","핀란드","Finlândia","Финляндия","芬兰","no","1","","","","","","","","","","",""
"France675282492","this is a country","verified","","France","Frankreich","Francia","France","Francia","フランス","프랑스","França","Франция","法国","no","1","","","","","","","","","","",""
"French_Guiana199328382","this is a country","verified","","French Guiana","Französisch-Guyana","Guayana Francesa","Guyane française","Guyana francese","仏領ギアナ","프랑스령 기아나","Guiana Francesa","Французская Гвиана","法属圭亚那","no","1","","","","","","","","","","",""
"French_Polynesia223052443","this is a country","verified","","French Polynesia","Französisch-Polynesien","Polinesia Francesa","Polynésie française","Polinesia francese","仏領ポリネシア","프랑스령 폴리네시아","Polinésia Francesa","Французская Полинезия","法属波利尼西亚","no","1","","","","","","","","","","",""
"French_Southern_Territories47618723","this is a country","verified","","French Southern Territories","Französische Südgebiete","Territorios Australes Franceses","Territoires français du Sud","Territori australi francesi","仏南方領","프랑스 남부 지역","Territórios Franceses do Sul","Французские Южные Территории","法属南部领土","no","1","","","","","","","","","","",""
"Gabon630661293","this is a country","verified","","Gabon","Gabun","Gabón","Gabon","Gabon","ガボン","가봉","Gabão","Габон","加蓬","no","1","","","","","","","","","","",""
"Gambia502765091","this is a country","verified","","Gambia","Gambia","Gambia","Gambie","Gambia","ガンビア","감비아","Gâmbia","Гамбия","冈比亚","no","1","","","","","","","","","","",""
"Georgia3313991","this is a country","verified","","Georgia","Georgien","Georgia","Géorgie","Georgia","グルジア","그루지야","Geórgia","Грузия","格鲁吉亚","no","1","","","","","","","","","","",""
"Germany412623799","this is a country","verified","","Germany","Deutschland","Alemania","Allemagne","Germania","ドイツ","독일","Alemanha","Германия","德国","no","1","","","","","","","","","","",""
"Ghana319730876","this is a country","verified","","Ghana","Ghana","Ghana","Ghana","Ghana","ガーナ","가나","Gana","Гана","迦纳","no","1","","","","","","","","","","",""
"Gibraltar527128858","this is a country","verified","","Gibraltar","Gibraltar","Gibraltar","Gibraltar","Gibilterra","ジブラルタル","지브랄타","Gibraltar","Гибралтар","直布罗陀","no","1","","","","","","","","","","",""
"Greece227024972","this is a country","verified","","Greece","Griechenland","Grecia","Grèce","Grecia","ギリシャ","그리스","Grécia","Греция","希腊","no","1","","","","","","","","","","",""
"Greenland329056287","this is a country","verified","","Greenland","Grönland","Groenlandia","Groënland","Groenlandia","グリーンランド","그린란드","Groenlândia","Гренландия","格陵兰岛","no","4","","","","","","","","","","",""
"Grenada1040011525","this is a country","verified","","Grenada","Grenada","Granada","Grenade","Grenada","グレナダ","그레나다","Granada","Гренада","格林纳达","no","1","","","","","","","","","","",""
"Guadeloupe379999304","this is a country","verified","","Guadeloupe","Guadeloupe","Guadalupe","Guadeloupe","Guadalupe","グアドループ","과들루프","Guadalupe","Гваделупа","瓜德罗普","no","1","","","","","","","","","","",""
"Guam577577939","this is a country","verified","","Guam","Guam","Guam","Guam","Guam","グアム","괌","Guam","Остров Гуам","关岛","no","4","","","","","","","","","","",""
"Guatemala301878073","this is a country","verified","","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","グアテマラ","과테말라","Guatemala","Гватемала","危地马拉","no","1","","","","","","","","","","",""
"Guernsey741754512","this is a country","verified","","Guernsey","Guernsey","Guernsey","Guernesey","Guernsey","ガーンジー島","건지 섬","Guernsey","Остров Гернси","根西岛","no","1","","","","","","","","","","",""
"Guinea18567958","this is a country","verified","","Guinea","Guinea","Guinea","Guinée","Guinea","ギニア","기니","Guiné","Гвинея","几内亚","no","1","","","","","","","","","","",""
"GuineaBissau301901698","this is a country","verified","","Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","Guinée-Bissau","Guinea-Bissau","ギニアビサウ","기니비사우","Guiné-Bissau","Гвинея-Бисау","几内亚比绍","no","1","","","","","","","","","","",""
"Guyana499445291","this is a country","verified","","Guyana","Guyana","Guyana","Guyane","Guyana","ガイアナ","가이아나","Guiana","Гайана","圭亚那","no","1","","","","","","","","","","",""
"Haiti281670703","this is a country","verified","","Haiti","Haiti","Haití","Haïti","Haiti","ハイチ","아이티","Haiti","Гаити","海地","no","1","","","","","","","","","","",""
"Heard_Island_and_McDonald_Islands807996996","this is a country","verified","","Heard Island and McDonald Islands","Heard und die McDonaldinseln","Islas Heard y McDonald","Îles Heard et McDonald","Isola Heard e Isole McDonald","ハード島およびマクドナルド諸島","허드 섬 및 맥도널드 제도","Ilhas Heard e McDonald","Остров Херд и острова МакДональд","赫德岛和麦克唐纳群岛","no","1","","","","","","","","","","",""
"Holy_See712034836","this is a country","verified","","Holy See","Heiliger Stuhl","Santa Sede","Saint-Siège","Santa Sede","バチカン","교황청","Cidade do Vaticano","Ватикан","梵蒂冈","no","1","","","","","","","","","","",""
"Honduras951537203","this is a country","verified","","Honduras","Honduras","Honduras","Honduras","Honduras","ホンジュラス","온두라스","Honduras","Гондурас","洪都拉斯","no","1","","","","","","","","","","",""
"Hong_Kong549731793","this is a country","verified","","Hong Kong","Hongkong","Hong Kong","Hong-Kong","Hong Kong","香港","홍콩","Hong Kong","Гонконг","中国香港","no","4","","","","","","","","","","",""
"Hungary99396528","this is a country","verified","","Hungary","Ungarn","Hungría","Hongrie","Ungheria","ハンガリー","헝가리","Hungria","Венгрия","匈牙利","no","1","","","","","","","","","","",""
"Iceland992936287","this is a country","verified","","Iceland","Island","Islandia","Islande","Islanda","アイスランド","아이슬랜드","Islândia","Исландия","冰岛","no","1","","","","","","","","","","",""
"India174838150","this is a country","verified","","India","Indien","India","Inde","India","インド","인도","Índia","Индия","印度","no","1","","","","","","","","","","",""
"Indonesia802282732","this is a country","verified","","Indonesia","Indonesien","Indonesia","Indonésie","Indonesia","インドネシア","인도네시아","Indonésia","Индонезия","印度尼西亚","no","1","","","","","","","","","","",""
"Iran14496359","this is a country","verified","","Iran","Iran","Irán","Iran","Iran","イラン","이란","Irã","Иран","伊朗","no","1","","","","","","","","","","",""
"Iraq14496362","this is a country","verified","","Iraq","Irak","Irak","Irak","Iraq","イラク","이라크","Iraque","Ирак","伊拉克","no","1","","","","","","","","","","",""
"Ireland198147816","this is a country","verified","","Ireland","Irland","Irlanda","Irlande","Irlanda","アイルランド","아일랜드","Irlanda","Ирландия","爱尔兰","no","1","","","","","","","","","","",""
"Isle_of_Man941976139","this is a country","verified","","Isle of Man","Insel Man","Isla de Man","Île de Man","Isola di Man","マン島","맨 섬","Ilha de Man","Остров Мэн","马恩岛","no","1","","","","","","","","","","",""
"Israel1006147925","this is a country","verified","","Israel","Israel","Israel","Israël","Israele","イスラエル","이스라엘","Israel","Израиль","以色列","no","1","","","","","","","","","","",""
"Italy550180361","this is a country","verified","","Italy","Italien","Italia","Italie","Italia","イタリア","이탈리아","Itália","Италия","意大利","no","1","","","","","","","","","","",""
"Jamaica277553392","this is a country","verified","","Jamaica","Jamaika","Jamaica","Jamaïque","Giamaica","ジャマイカ","자메이카","Jamaica","Ямайка","牙买加","no","1","","","","","","","","","","",""
"Japan20450591","this is a country","verified","","Japan","Japan","Japón","Japon","Giappone","日本","일본","Japão","Япония","日本","no","1","","","","","","","","","","",""
"Jersey659931607","this is a country","verified","","Jersey","Jersey","Jersey","Jersey","Jersey","ジャージー","저지 섬","Jersey","Остров Джерси","泽西岛","no","1","","","","","","","","","","",""
"Jordan1003932497","this is a country","verified","","Jordan","Jordanien","Jordania","Jordanie","Giordania","ヨルダン","요르단","Jordânia","Иордания","约旦","no","1","","","","","","","","","","",""
"Kazakhstan925487632","this is a country","verified","","Kazakhstan","Kasachstan","Kazajstán","Kazakhstan","Kazakstan","カザフスタン","카자흐스탄","Cazaquistão","Казахстан","哈萨克斯坦","no","1","","","","","","","","","","",""
"Keeling_Islands855467776","this is a country","verified","","Keeling Islands","Keelinginseln","Islas Keeling","Îles Keeling","Isole Keeling","キーリング諸島","킬링 제도","Ilhas Cocos (Keeling)","Острова Килинг","科科斯（基灵）群岛","no","1","","","","","","","","","","",""
"Kenya69953539","this is a country","verified","","Kenya","Kenia","Kenia","Kenya","Kenya","ケニア","케냐","Quênia","Кения","肯尼亚","no","1","","","","","","","","","","",""
"Kiribati601900589","this is a country","verified","","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","キリバス","키라바시","Kiribati","Кирибати","基里巴斯","no","1","","","","","","","","","","",""
"Kuwait575214787","this is a country","verified","","Kuwait","Kuwait","Kuwait","Koweït","Kuwait","クウェート","쿠웨이트","Kuaite","Кувейт","科威特","no","4","","","","","","","","","","",""
"Kyrgyzstan39802207","this is a country","verified","","Kyrgyzstan","Kirgistan","Kirguizistán","Kirghizistan","Kirghizistan","キルギスタン","키르기스스탄","Quirguistão","Киргизия","吉尔吉斯斯坦","no","1","","","","","","","","","","",""
"Laos3849211","this is a country","verified","","Laos","Laos","Laos","Laos","Laos","ラオス","라오스","Laos","Лаос","老挝","no","1","","","","","","","","","","",""
"Latvia509768177","this is a country","verified","","Latvia","Lettland","Letonia","Lettonie","Lettonia","ラトビア","라트비아","Letônia","Латвия","拉脱维亚","no","1","","","","","","","","","","",""
"Lebanon768592725","this is a country","verified","","Lebanon","Libanon","Líbano","Liban","Libano","レバノン","레바논","Líbano","Ливан","黎巴嫩","no","1","","","","","","","","","","",""
"Lesotho1062656205","this is a country","verified","","Lesotho","Lesotho","Lesotho","Lesotho","Lesotho","レソト","레소토","Lesoto","Лесото","莱索托","no","1","","","","","","","","","","",""
"Liberia1019951122","this is a country","verified","","Liberia","Liberia","Liberia","Libéria","Liberia","リベリア","라이베리아","Libéria","Либерия","利比里亚","no","1","","","","","","","","","","",""
"Libya206276818","this is a country","verified","","Libya","Libyen","Libia","Libye","Libia","リビア","리비아","Líbia","Ливия","利比亚","no","1","","","","","","","","","","",""
"Liechtenstein459782328","this is a country","verified","","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","リヒテンシュタイン","리히텐슈타인","Liechtenstein","Лихтенштейн","列支敦士登","no","1","","","","","","","","","","",""
"Lithuania33733762","this is a country","verified","","Lithuania","Litauen","Lituania","Lithuanie","Lituania","リトアニア","리투아니아","Lituânia","Литва","立陶宛","no","1","","","","","","","","","","",""
"Luxembourg421291458","this is a country","verified","","Luxembourg","Luxemburg","Luxemburgo","Luxembourg","Lussemburgo","ルクセンブルク","룩셈부르크","Luxemburgo","Люксембург","卢森堡","no","1","","","","","","","","","","",""
"Macao1034864397","this is a country","verified","","Macao","Macau","Macao","Macao","Macao","マカオ","마카오","Macau","Макао","中国澳门","no","1","","","","","","","","","","",""
"Macedonia1004806105","this is a country","verified","","Macedonia","Mazedonien","Macedonia","Macédoine","Macedonia","マケドニア","마케도니아","Macedônia","Македония","马其顿","no","1","","","","","","","","","","",""
"Madagascar326349000","this is a country","verified","","Madagascar","Madagaskar","Madagascar","Madagascar","Madagascar","マダガスカル","마다가스카르","Madagascar","Мадагаскар","马达加斯加","no","1","","","","","","","","","","",""
"Malawi986476518","this is a country","verified","","Malawi","Malawi","Malawi","Malawi","Malawi","マラウィ","말라위","Malaui","Малави","马拉维","no","1","","","","","","","","","","",""
"Malaysia56120464","this is a country","verified","","Malaysia","Malaysia","Malasia","Malaisie","Malesia","マレーシア","말레이시아","Malásia","Малайзия","马来西亚","no","1","","","","","","","","","","",""
"Maldives392405998","this is a country","verified","","Maldives","Malediven","Maldivas","Maldives","Maldive","モルディブ","몰디브","Maldivas","Мальдивы","马尔代夫","no","1","","","","","","","","","","",""
"Mali808626803","this is a country","verified","","Mali","Mali","Malí","Mali","Mali","マリ","말리","Mali","Мали","马里","no","1","","","","","","","","","","",""
"Malta956901987","this is a country","verified","","Malta","Malta","Malta","Malte","Malta","マルタ","말타","Malta","Мальта","马耳他","no","1","","","","","","","","","","",""
"Marshall_Islands287863104","this is a country","verified","","Marshall Islands","Marshallinseln","Islas Marshall","Îles Marshall","Isole Marshall","マーシャル諸島","마셜 제도","Ilhas Marshall","Маршалловы острова","马绍尔群岛","no","1","","","","","","","","","","",""
"Martinique250328319","this is a country","verified","","Martinique","Martinique","Martinica","Martinique","Martinica","マルチニック","말티니크","Martinica","Мартиника","马提尼克岛","no","1","","","","","","","","","","",""
"Mauritania259140188","this is a country","verified","","Mauritania","Mauretanien","Mauritania","Mauritanie","Mauritania","モーリタニア","모리타니","Mauritânia","Мавритания","毛里塔尼亚","no","1","","","","","","","","","","",""
"Mauritius813700217","this is a country","verified","","Mauritius","Mauritius","Mauricio","Ile Maurice","Mauritius","モーリシャス","모리셔스","Maurício","Маврикий","毛里求斯","no","1","","","","","","","","","","",""
"Mayotte720438155","this is a country","verified","","Mayotte","Mayotte","Mayotte","Mayotte","Mayotte","マヨット島","마요트","Mayotte","Майотта","马约特","no","1","","","","","","","","","","",""
"Mexico21288479","this is a country","verified","","Mexico","Mexiko","México","Mexique","Messico","メキシコ","멕시코","México","Мексика","墨西哥","no","1","","","","","","","","","","",""
"Micronesia982248615","this is a country","verified","","Micronesia","Mikronesien","Micronesia","Micronésie","Micronesia","ミクロネシア","미크로네시아","Micronésia","Микронезия","密克罗尼西亚","no","1","","","","","","","","","","",""
